i,x,f(x),x²,x³,x⁴,x·f(x),x²·f(x)
1,53,1.076701,2809,148877,7890481,57.065148,3024.4528
2,55,1.076645,3025,166375,9150625,59.215475,3256.8511
3,56,1.076654,3136,175616,9834496,60.292635,3376.3876
4,57,1.075398,3249,185193,10556001,61.297663,3493.9668
5,58,1.076586,3364,195112,11316496,62.441976,3621.6346
6,59,1.075263,3481,205379,12117361,63.440505,3742.9898
7,65,1.07652,4225,274625,17850625,69.973774,4548.2953
8,66,1.076563,4356,287496,18974736,71.053171,4689.5093
9,67,1.076672,4489,300763,20151121,72.137051,4833.1824
10,68,1.076534,4624,314432,21381376,73.204332,4977.8946
11,69,1.076648,4761,328509,22667121,74.288684,5125.9192
12,70,1.0766,4900,343000,24010000,75.362014,5275.341
13,71,1.075334,5041,357911,25411681,76.34875,5420.7612
14,72,1.076397,5184,373248,26873856,77.500598,5580.0431
15,73,1.07514,5329,389017,28398241,78.48522,5729.4211
16,74,1.076374,5476,405224,29986576,79.651646,5894.2218
17,75,1.076251,5625,421875,31640625,80.718848,6053.9136
18,76,1.076326,5776,438976,33362176,81.800806,6216.8613
19,77,1.07629,5929,456533,35153041,82.874345,6381.3246
20,78,1.076319,6084,474552,37015056,83.952898,6548.326
21,79,1.076204,6241,493039,38950081,85.020156,6716.5923
22,80,1.076236,6400,512000,40960000,86.09892,6887.9136
23,81,1.076244,6561,531441,43046721,87.175796,7061.2395
24,82,1.0762,6724,551368,45212176,88.248359,7236.3654
25,83,1.076188,6889,571787,47458321,89.323621,7413.8605
26,84,1.076226,7056,592704,49787136,90.403026,7593.8542
27,85,1.076333,7225,614125,52200625,91.488296,7776.5052
28,86,1.076051,7396,636056,54700816,92.540403,7958.4747
29,87,1.076226,7569,658503,57289761,93.631697,8145.9576
30,88,1.076053,7744,681472,59969536,94.692664,8332.9544
31,89,1.074946,7921,704969,62742241,95.67023,8514.6504
32,90,1.076125,8100,729000,65610000,96.851241,8716.6117
33,91,1.07604,8281,753571,68574961,97.919686,8910.6914
34,92,1.074808,8464,778688,71639296,98.882327,9097.1741
35,93,1.07599,8649,804357,74805201,100.067089,9306.2392
36,94,1.075898,8836,830584,78074896,101.134459,9506.6391
37,95,1.075824,9025,857375,81450625,102.203328,9709.3161
38,96,1.075875,9216,884736,84934656,103.284029,9915.2668
39,97,1.075842,9409,912673,88529281,104.356664,10122.5964
40,98,1.075911,9604,941192,92236816,105.439298,10333.0512
41,99,1.075878,9801,970299,96059601,106.511962,10544.6842
42,100,1.075913,10000,1000000,100000000,107.59126,10759.126
43,101,1.075842,10201,1030301,104060401,108.659991,10974.6591
44,102,1.075789,10404,1061208,108243216,109.730437,11192.5046
45,103,1.075822,10609,1092727,112550881,110.809645,11413.3935
46,104,1.075783,10816,1124864,116985856,111.881463,11635.6722
47,105,1.075828,11025,1157625,121550625,112.961919,11861.0015
48,106,1.075864,11236,1191016,126247696,114.041626,12088.4124
49,107,1.075638,11449,1225043,131079601,115.093298,12314.9829
50,108,1.075746,11664,1259712,136048896,116.180557,12547.5002
51,109,1.075728,11881,1295029,141158161,117.254374,12780.7267
52,110,1.075666,12100,1331000,146410000,118.323227,13015.555
53,111,1.075623,12321,1367631,151807041,119.394175,13252.7534
54,112,1.075621,12544,1404928,157351936,120.469563,13492.5911
55,113,1.07567,12769,1442897,163047361,121.550699,13735.229
56,114,1.075596,12996,1481544,168896016,122.617955,13978.4469
57,115,1.074199,13225,1520875,174900625,123.53285,14206.2778
58,116,1.075638,13456,1560896,181063936,124.774031,14473.7876
59,117,1.075603,13689,1601613,187388721,125.845574,14723.9322
60,118,1.075515,13924,1643032,193877776,126.910723,14975.4653
61,119,1.075504,14161,1685159,200533921,127.985036,15230.2192
62,120,1.075389,14400,1728000,207360000,129.046656,15485.5987
63,121,1.075251,14641,1771561,214358881,130.105407,15742.7543
64,122,1.075214,14884,1815848,221533456,131.176108,16003.4852
65,123,1.075224,15129,1860867,228886641,132.252614,16267.0715
66,124,1.075181,15376,1906624,236421376,133.322456,16531.9846
67,125,1.075212,15625,1953125,244140625,134.401562,16800.1953
68,126,1.075228,15876,2000376,252047376,135.478741,17070.3213
69,127,1.07524,16129,2048383,260144641,136.55548,17342.546
70,128,1.075288,16384,2097152,268435456,137.636813,17617.512
71,129,1.075219,16641,2146689,276922881,138.703212,17892.7144
72,130,1.075147,16900,2197000,285610000,139.76911,18169.9843
73,131,1.075126,17161,2248091,294499921,140.841558,18450.2442
74,132,1.073757,17424,2299968,303595776,141.735977,18709.1489
75,133,1.074738,17689,2352637,312900721,142.940207,19011.0476
76,134,1.074445,17956,2406104,322417936,143.975643,19292.7362
77,135,1.072847,18225,2460375,332150625,144.834332,19552.6348
78,136,1.072844,18496,2515456,342102016,145.906798,19843.3245
79,137,1.07452,18769,2571353,352275361,147.20924,20167.6659
80,138,1.073329,19044,2628072,362673936,148.119402,20440.4775
81,139,1.074769,19321,2685619,373301041,149.392877,20765.6099
82,140,1.074748,19600,2744000,384160000,150.464748,21065.0647
83,141,1.071034,19881,2803221,395254161,151.015752,21293.221
84,142,1.074666,20164,2863288,406586896,152.602629,21669.5733
