i,x (ciclo),f(x) = QD (Ah),x²,x³,x⁴,x · f(x),x² · f(x)
1,53,1.076701,2809,148877,7890481,57.065148,3024.452828
2,134,1.074445,17956,2406104,322417936,143.975643,19292.736216
3,215,1.072575,46225,9938375,2136750625,230.603646,49579.783997
4,296,1.067037,87616,25934336,7676563456,315.843011,93489.531315
5,378,1.062948,142884,54010152,20415837456,401.79442,151878.290609
6,459,1.060768,210681,96702579,44386483761,486.892512,223483.663008
7,540,1.060317,291600,157464000,85030560000,572.571288,309188.49552
8,621,1.055551,385641,239483061,148718980881,655.496985,407063.627499
9,702,1.054232,492804,345948408,242855782416,740.070513,519529.500126
10,783,1.037337,613089,480048687,375878121921,812.235028,635980.026611
11,864,1.045661,746496,644972544,557256278016,903.450672,780581.380608
12,946,1.040701,894916,846590536,800874647056,984.502957,931339.797133
13,1027,1.037714,1054729,1083206683,1112453263441,1065.732073,1094506.83856
14,1108,1.033182,1227664,1360251712,1507158896896,1144.765434,1268400.101315
15,1189,1.02621,1413721,1680914269,1998607065841,1220.163452,1450774.344666
Σ,9315,15.805378,7628831,7028020323,6903779540183,9735.162782,7938112.570011
