i,x (ciclo),f(x) = QD (Ah),x²,ln f(x),x · ln f(x)
1,53,1.076701,2809,0.07390164,3.91678712
2,55,1.076645,3025,0.07384972,4.06173485
3,56,1.076654,3136,0.07385827,4.13606309
4,57,1.075398,3249,0.07269045,4.14335586
5,58,1.076586,3364,0.07379474,4.28009477
6,59,1.075263,3481,0.0725651,4.28134071
7,65,1.07652,4225,0.07373324,4.79266091
8,66,1.076563,4356,0.07377374,4.86906716
9,67,1.076672,4489,0.07387517,4.94963663
10,68,1.076534,4624,0.0737469,5.01478919
11,69,1.076648,4761,0.07385214,5.09579762
12,70,1.0766,4900,0.07380811,5.1665679
13,71,1.075334,5041,0.07263178,5.15685609
14,72,1.076397,5184,0.07361954,5.30060678
15,73,1.07514,5329,0.07245089,5.28891465
16,74,1.076374,5476,0.07359761,5.44622339
17,75,1.076251,5625,0.07348398,5.51129885
18,76,1.076326,5776,0.07355376,5.59008587
19,77,1.07629,5929,0.07352013,5.66104985
20,78,1.076319,6084,0.07354707,5.73667162
21,79,1.076204,6241,0.0734405,5.80179946
22,80,1.076236,6400,0.07347023,5.87761865
23,81,1.076244,6561,0.07347757,5.95168345
24,82,1.0762,6724,0.07343585,6.02173998
25,83,1.076188,6889,0.07342535,6.09430434
26,84,1.076226,7056,0.07346094,6.17071908
27,85,1.076333,7225,0.0735598,6.25258304
28,86,1.076051,7396,0.07329804,6.30363181
29,87,1.076226,7569,0.07346085,6.39109382
30,88,1.076053,7744,0.07329972,6.4503751
31,89,1.074946,7921,0.0722708,6.43210119
32,90,1.076125,8100,0.07336653,6.60298798
33,91,1.07604,8281,0.0732881,6.66921714
34,92,1.074808,8464,0.07214195,6.63705921
35,93,1.07599,8649,0.07324135,6.81144591
36,94,1.075898,8836,0.07315613,6.87667588
37,95,1.075824,9025,0.07308734,6.94329771
38,96,1.075875,9216,0.07313456,7.02091803
39,97,1.075842,9409,0.07310352,7.09104123
40,98,1.075911,9604,0.07316793,7.17045718
41,99,1.075878,9801,0.07313744,7.24060698
42,100,1.075913,10000,0.07316923,7.31692317
43,101,1.075842,10201,0.07310315,7.38341775
44,102,1.075789,10404,0.07305397,7.45150535
45,103,1.075822,10609,0.07308483,7.52773797
46,104,1.075783,10816,0.07304905,7.59710093
47,105,1.075828,11025,0.07309041,7.67449323
48,106,1.075864,11236,0.07312443,7.75118974
49,107,1.075638,11449,0.07291425,7.80182505
50,108,1.075746,11664,0.07301428,7.88554239
51,109,1.075728,11881,0.07299783,7.95676321
52,110,1.075666,12100,0.07293973,8.02336983
53,111,1.075623,12321,0.07290021,8.09192381
54,112,1.075621,12544,0.07289826,8.16460536
55,113,1.07567,12769,0.07294363,8.24263022
56,114,1.075596,12996,0.07287502,8.30775223
57,115,1.074199,13225,0.07157499,8.23112365
58,116,1.075638,13456,0.07291416,8.45804254
59,117,1.075603,13689,0.07288162,8.5271496
60,118,1.075515,13924,0.07279924,8.59031088
61,119,1.075504,14161,0.07278985,8.6619926
62,120,1.075389,14400,0.07268227,8.72187247
63,121,1.075251,14641,0.0725544,8.77908261
64,122,1.075214,14884,0.07251971,8.84740481
65,123,1.075224,15129,0.07252948,8.92112567
66,124,1.075181,15376,0.07248911,8.98864995
67,125,1.075212,15625,0.07251832,9.06478956
68,126,1.075228,15876,0.07253283,9.13913596
69,127,1.07524,16129,0.07254389,9.21307434
70,128,1.075288,16384,0.07258816,9.29128457
71,129,1.075219,16641,0.07252408,9.35560667
72,130,1.075147,16900,0.0724574,9.41946153
73,131,1.075126,17161,0.07243824,9.48940892
74,132,1.073757,17424,0.07116409,9.39365936
75,133,1.074738,17689,0.07207728,9.58627866
76,134,1.074445,17956,0.07180434,9.62178186
77,135,1.072847,18225,0.07031577,9.49262887
78,136,1.072844,18496,0.07031316,9.5625897
79,137,1.07452,18769,0.07187405,9.84674488
80,138,1.073329,19044,0.07076503,9.76557464
81,139,1.074769,19321,0.07210566,10.02268698
82,140,1.074748,19600,0.0720864,10.09209622
83,141,1.071034,19881,0.06862426,9.67602022
84,142,1.074666,20164,0.07201029,10.22546087
85,143,1.07472,20449,0.07205998,10.30457663
86,144,1.074691,20736,0.07203281,10.37272409
87,145,1.072199,21025,0.06971131,10.10813947
88,146,1.073395,21316,0.07082634,10.3406451
89,147,1.074539,21609,0.07189164,10.56807098
90,148,1.074387,21904,0.07175055,10.61908075
91,149,1.074088,22201,0.07147184,10.64930361
92,150,1.074415,22500,0.07177651,10.76647703
93,151,1.074378,22801,0.07174189,10.83302531
94,152,1.074359,23104,0.07172448,10.90212155
95,153,1.074277,23409,0.0716476,10.96208248
96,154,1.074231,23716,0.07160468,11.0271214
97,155,1.073968,24025,0.07136011,11.06081664
98,156,1.073216,24336,0.07065938,11.02286257
99,157,1.073682,24649,0.07109396,11.16175109
100,158,1.073785,24964,0.0711896,11.24795736
101,159,1.073896,25281,0.07129325,11.33562679
102,160,1.074275,25600,0.07164574,11.46331779
103,161,1.073007,25921,0.07046527,11.34490798
104,162,1.07306,26244,0.0705141,11.42328428
105,163,1.071574,26569,0.06912813,11.26788503
106,164,1.071436,26896,0.0689998,11.31596799
107,165,1.068702,27225,0.06644511,10.96344293
108,166,1.067708,27556,0.06551467,10.87543515
109,167,1.0725,27889,0.06999237,11.68872609
110,168,1.073626,28224,0.07104152,11.93497506
111,169,1.073018,28561,0.07047487,11.91025237
112,170,1.073767,28900,0.07117293,12.09939868
113,171,1.073939,29241,0.07133301,12.19794492
114,172,1.071485,29584,0.06904572,11.87586443
115,173,1.071384,29929,0.06895146,11.92860211
116,174,1.070015,30276,0.06767304,11.77510912
117,175,1.063932,30625,0.0619711,10.84494305
118,176,1.067809,30976,0.06560879,11.54714738
119,177,1.071584,31329,0.06913839,12.23749578
120,178,1.06914,31684,0.06685421,11.90004989
121,179,1.07152,32041,0.0690782,12.36499801
122,180,1.070211,32400,0.06785554,12.2139981
123,181,1.071478,32761,0.06903891,12.49604279
124,182,1.073767,33124,0.07117265,12.95342303
125,183,1.073478,33489,0.07090356,12.97535239
126,184,1.073412,33856,0.07084264,13.03504569
127,185,1.073316,34225,0.07075283,13.08927328
128,186,1.073264,34596,0.07070429,13.15099723
129,187,1.073142,34969,0.07059126,13.20056563
130,188,1.072943,35344,0.07040534,13.23620395
131,189,1.071934,35721,0.0694644,13.12877166
132,190,1.07161,36100,0.06916238,13.14085165
133,191,1.07247,36481,0.06996487,13.36328933
134,192,1.072864,36864,0.07033152,13.50365218
135,193,1.073096,37249,0.07054784,13.6157322
136,194,1.069645,37636,0.06732644,13.06133009
137,195,1.070941,38025,0.06853798,13.36490637
138,196,1.064749,38416,0.0627389,12.29682495
139,197,1.067211,38809,0.0650487,12.81459458
140,198,1.069285,39204,0.06699039,13.2640968
141,199,1.064405,39601,0.06241568,12.42071947
142,200,1.069248,40000,0.06695541,13.39108212
143,201,1.072961,40401,0.0704223,14.15488284
144,202,1.071951,40804,0.06948063,14.03508777
145,203,1.073483,41209,0.07090813,14.3943503
146,204,1.071111,41616,0.06869605,14.01399504
147,205,1.072836,42025,0.07030552,14.41263083
148,206,1.068616,42436,0.06636398,13.67097967
149,207,1.072255,42849,0.06976419,14.44118677
150,208,1.072209,43264,0.06972082,14.50193052
151,209,1.073086,43681,0.07053842,14.74253044
152,210,1.072887,44100,0.07035277,14.77408234
153,211,1.072836,44521,0.07030542,14.83444426
154,212,1.072808,44944,0.07027923,14.89919685
155,213,1.07278,45369,0.07025341,14.96397633
156,214,1.072669,45796,0.07015031,15.01216593
157,215,1.072575,46225,0.07006239,15.06341443
158,216,1.071491,46656,0.06905132,14.91508579
159,217,1.072529,47089,0.0700196,15.19425267
160,218,1.072256,47524,0.06976503,15.20877581
161,219,1.072226,47961,0.06973714,15.2724339
162,220,1.0703,48400,0.0679387,14.9465146
163,221,1.0709,48841,0.06849979,15.13845358
164,222,1.071755,49284,0.06929721,15.38398103
165,223,1.072082,49729,0.06960246,15.52134835
166,224,1.072664,50176,0.07014509,15.71249958
167,225,1.068663,50625,0.06640824,14.9418542
168,226,1.068747,51076,0.06648684,15.02602599
169,227,1.066107,51529,0.0640136,14.53108769
170,228,1.065933,51984,0.0638501,14.55782205
171,229,1.067914,52441,0.06570693,15.04688743
172,230,1.068548,52900,0.06630053,15.24912199
173,231,1.071534,53361,0.06909117,15.96006104
174,232,1.07251,53824,0.07000207,16.24047995
175,233,1.072442,54289,0.06993782,16.2955132
176,234,1.072302,54756,0.06980737,16.33492373
177,235,1.07228,55225,0.06978722,16.3999973
178,236,1.065974,55696,0.06388847,15.07767801
179,237,1.070775,56169,0.06838259,16.2066743
180,238,1.069517,56644,0.06720705,15.99527818
181,239,1.063406,57121,0.06147659,14.69290458
182,240,1.06944,57600,0.06713533,16.11248016
183,241,1.068152,58081,0.06593024,15.88918778
184,242,1.070517,58564,0.0681418,16.49031627
185,243,1.071526,59049,0.06908417,16.78745428
186,244,1.071109,59536,0.06869484,16.76154106
187,245,1.07132,60025,0.06889116,16.87833411
188,246,1.071338,60516,0.06890796,16.95135846
189,247,1.071448,61009,0.06901063,17.04562594
190,248,1.071353,61504,0.06892243,17.09276239
191,249,1.071695,62001,0.06924169,17.24118177
192,250,1.071188,62500,0.06876831,17.19207824
193,251,1.069211,63001,0.06692109,16.79719279
194,252,1.069451,63504,0.06714562,16.92069616
195,253,1.071314,64009,0.06888565,17.42807006
196,254,1.06657,64516,0.06444827,16.36985983
197,255,1.071669,65025,0.06921734,17.6504216
198,256,1.06809,65536,0.06587201,16.8632337
199,257,1.052204,66049,0.05088739,13.07805975
200,258,1.05941,66564,0.05771187,14.88966148
201,259,1.062722,67081,0.06083354,15.75588716
202,260,1.065221,67600,0.06318229,16.42739524
203,261,1.067569,68121,0.06538448,17.06534816
204,262,1.071325,68644,0.06889629,18.05082889
205,263,1.070654,69169,0.06826968,17.95492498
206,264,1.070429,69696,0.0680595,17.96770871
207,265,1.069873,70225,0.06753958,17.89798763
208,266,1.067454,70756,0.06527628,17.36349053
209,267,1.067901,71289,0.06569504,17.54057558
210,268,1.071026,71824,0.0686166,18.38924899
211,269,1.070958,72361,0.06855404,18.44103727
212,270,1.070919,72900,0.06851744,18.49970839
213,271,1.070841,73441,0.06844469,18.54851224
214,272,1.069724,73984,0.06740105,18.3330843
215,273,1.070493,74529,0.0681192,18.59654067
216,274,1.070785,75076,0.06839174,18.73933791
217,275,1.070703,75625,0.06831544,18.78674657
218,276,1.070612,76176,0.06823026,18.83155197
219,277,1.070097,76729,0.06774967,18.76665925
220,278,1.070269,77284,0.06791002,18.87898521
221,279,1.069909,77841,0.06757369,18.85305995
222,280,1.069939,78400,0.06760154,18.92843233
223,281,1.06919,78961,0.06690117,18.79922748
224,282,1.066622,79524,0.06449646,18.18800109
225,283,1.066286,80089,0.06418186,18.16346745
226,284,1.065146,80656,0.06311179,17.92374696
227,285,1.069101,81225,0.0668183,19.04321421
228,286,1.068527,81796,0.06628135,18.95646475
229,287,1.070872,82369,0.06847346,19.65188205
230,288,1.068974,82944,0.06669959,19.20948209
231,289,1.069585,83521,0.06727035,19.4411308
232,290,1.069801,84100,0.06747293,19.56714979
233,291,1.070136,84681,0.06778602,19.72573285
234,292,1.070017,85264,0.06767482,19.76104644
235,293,1.06983,85849,0.06749948,19.77734674
236,294,1.064631,86436,0.06262845,18.41276374
237,295,1.06767,87025,0.0654787,19.31621769
238,296,1.067037,87616,0.06488584,19.2062074
239,297,1.069961,88209,0.06762229,20.08382092
240,298,1.069836,88804,0.06750574,20.1167104
241,299,1.069743,89401,0.06741881,20.15822318
242,300,1.069616,90000,0.06729943,20.18982752
243,301,1.069882,90601,0.06754883,20.33219764
244,302,1.069885,91204,0.06755145,20.40053683
245,303,1.069128,91809,0.06684299,20.25342561
246,304,1.066744,92416,0.06461139,19.64186362
247,305,1.068861,93025,0.06659341,20.31098956
248,306,1.069142,93636,0.06685636,20.45804742
249,307,1.069192,94249,0.06690276,20.5391459
250,308,1.069607,94864,0.0672911,20.72566013
251,309,1.069669,95481,0.06734963,20.81103529
252,310,1.068412,96100,0.06617315,20.51367748
253,311,1.069277,96721,0.06698291,20.83168383
254,312,1.062872,97344,0.06097496,19.02418766
255,313,1.064725,97969,0.06271655,19.6302801
256,314,1.064865,98596,0.06284794,19.73425211
257,315,1.069035,99225,0.06675656,21.02831623
258,316,1.068496,99856,0.06625215,20.93567807
259,317,1.069334,100489,0.06703593,21.25039021
260,318,1.069314,101124,0.06701723,21.31147846
261,319,1.069307,101761,0.06701049,21.37634776
262,320,1.069352,102400,0.06705333,21.45706404
263,321,1.067997,103041,0.06578484,21.11693297
264,322,1.06758,103684,0.06539431,21.05696817
265,323,1.067449,104329,0.06527169,21.08275581
266,324,1.066172,104976,0.06407429,20.76006944
267,325,1.066994,105625,0.06484535,21.07473844
268,326,1.068594,106276,0.06634367,21.62803711
269,327,1.067979,106929,0.06576826,21.50622255
270,328,1.06849,107584,0.06624634,21.72880058
271,329,1.06734,108241,0.06517004,21.4409433
272,330,1.067081,108900,0.06492716,21.42596424
273,331,1.066922,109561,0.06477796,21.44150516
274,332,1.064526,110224,0.06252972,20.75986824
275,333,1.064402,110889,0.06241333,20.78363789
276,334,1.069533,111556,0.06722201,22.45215171
277,335,1.068778,112225,0.06651613,22.28290251
278,336,1.070271,112896,0.06791198,22.81842557
279,337,1.07034,113569,0.06797664,22.90812609
280,338,1.070334,114244,0.06797084,22.97414484
281,339,1.070029,114921,0.06768575,22.94546956
282,340,1.066999,115600,0.06485022,22.04907567
283,341,1.06794,116281,0.06573193,22.4145894
284,342,1.069568,116964,0.0672553,23.00131127
285,343,1.067512,117649,0.06533061,22.40840046
286,344,1.067406,118336,0.0652315,22.4396359
287,345,1.067782,119025,0.06558397,22.62647119
288,346,1.06914,119716,0.06685496,23.13181655
289,347,1.069061,120409,0.06678088,23.17296542
290,348,1.069039,121104,0.06676021,23.23255225
291,349,1.067674,121801,0.06548226,22.85330985
292,350,1.065442,122500,0.06339002,22.18650634
293,351,1.066672,123201,0.06454352,22.65477591
294,352,1.065249,123904,0.06320857,22.24941828
295,353,1.067323,124609,0.06515364,22.99923648
296,354,1.068309,125316,0.06607721,23.39133296
297,355,1.069017,126025,0.06673944,23.69250159
298,356,1.067724,126736,0.06552909,23.32835706
299,357,1.060736,127449,0.05896263,21.04965881
300,358,1.067499,128164,0.06531834,23.38396644
301,359,1.065065,128881,0.06303621,22.62999786
302,360,1.065,129600,0.06297442,22.67079249
303,361,1.067866,130321,0.06566264,23.70421271
304,362,1.068412,131044,0.06617325,23.95471532
305,363,1.068219,131769,0.06599315,23.95551351
306,364,1.068793,132496,0.06653016,24.21697879
307,365,1.0692,133225,0.06691099,24.42250984
308,366,1.069187,133956,0.06689892,24.48500498
309,367,1.068893,134689,0.06662353,24.45083679
310,368,1.068741,135424,0.06648169,24.46526356
311,369,1.068638,136161,0.06638531,24.49618115
312,370,1.064519,136900,0.06252268,23.13339093
313,371,1.067725,137641,0.0655305,24.31181465
314,372,1.06763,138384,0.06544077,24.34396653
315,373,1.067562,139129,0.06537773,24.38589381
316,374,1.067586,139876,0.06539956,24.45943416
317,375,1.067954,140625,0.06574495,24.65435601
318,376,1.065505,141376,0.06344877,23.85673802
319,377,1.065346,142129,0.06329972,23.86399553
320,378,1.062948,142884,0.06104637,23.07552717
321,379,1.059456,143641,0.05775519,21.8892175
322,380,1.065367,144400,0.06331906,24.06124248
323,381,1.068119,145161,0.06589906,25.10754336
324,382,1.068004,145924,0.0657912,25.13224029
325,383,1.067912,146689,0.06570543,25.16518114
326,384,1.067308,147456,0.06513997,25.01374665
327,385,1.067424,148225,0.06524874,25.12076399
328,386,1.0676,148996,0.06541295,25.24939917
329,387,1.068161,149769,0.06593885,25.518336
330,388,1.066788,150544,0.06465264,25.08522417
331,389,1.049912,151321,0.04870607,18.94665944
332,390,1.048782,152100,0.0476294,18.57546424
333,391,1.040984,152881,0.04016661,15.70514522
334,392,1.054733,153664,0.05328765,20.8887605
335,393,1.066344,154449,0.06423579,25.24466461
336,394,1.063675,155236,0.06172961,24.32146677
337,395,1.066135,156025,0.06404015,25.29585805
338,396,1.067439,156816,0.06526232,25.84387937
339,397,1.063289,157609,0.06136675,24.36259831
340,398,1.06475,158404,0.06273975,24.97041973
341,399,1.065233,159201,0.06319318,25.21407845
342,400,1.063678,160000,0.061733,24.69319823
343,401,1.065893,160801,0.06381276,25.58891589
344,402,1.061992,161604,0.06014667,24.17896227
345,403,1.059456,162409,0.05775547,23.2754562
346,404,1.058076,163216,0.05645216,22.80667446
347,405,1.044961,164025,0.04397918,17.81156845
348,406,1.060886,164836,0.05910394,23.99619832
349,407,1.054832,165649,0.0533818,21.72639136
350,408,1.04266,166464,0.04177466,17.04406152
351,409,1.066958,167281,0.06481208,26.50813968
352,410,1.06567,168100,0.06360362,26.07748235
353,411,1.065674,168921,0.06360793,26.14286006
354,412,1.066538,169744,0.06441817,26.5402861
355,413,1.062942,170569,0.06104044,25.20970223
356,414,1.055619,171396,0.05412751,22.40879087
357,415,1.066964,172225,0.06481761,26.89930698
358,416,1.064586,173056,0.06258646,26.03596772
359,417,1.043953,173889,0.04301409,17.93687392
360,418,1.05604,174724,0.05452625,22.79197365
361,419,1.066907,175561,0.06476409,27.13615348
362,420,1.066283,176400,0.06417905,26.95520112
363,421,1.066753,177241,0.06461955,27.20483017
364,422,1.066135,178084,0.06404024,27.0249816
365,423,1.063808,178929,0.06185492,26.16463264
366,424,1.063803,179776,0.06185004,26.22441501
367,425,1.064928,180625,0.06290729,26.73559619
368,426,1.063532,181476,0.06159535,26.23961932
369,427,1.064642,182329,0.0626384,26.74659875
370,428,1.051359,183184,0.0500838,21.43586779
371,429,1.06221,184041,0.06035136,25.89073385
372,430,1.054874,184900,0.0534218,22.97137508
373,431,1.056126,185761,0.0546075,23.53583093
374,432,1.054855,186624,0.0534036,23.07035569
375,433,1.04013,187489,0.0393458,17.03673204
376,434,1.056043,188356,0.05452853,23.66538001
377,435,1.064447,189225,0.06245579,27.1682692
378,436,1.063074,190096,0.06116462,26.66777309
379,437,1.064386,190969,0.06239783,27.26784963
380,438,1.065268,191844,0.06322632,27.69312677
381,439,1.060563,192721,0.05879999,25.81319714
382,440,1.061882,193600,0.06004281,26.41883444
383,441,1.060433,194481,0.05867722,25.87665445
384,442,1.06252,195364,0.06064307,26.80423637
385,443,1.063943,196249,0.06198219,27.45811195
386,444,1.065631,197136,0.06356702,28.22375605
387,445,1.065956,198025,0.06387158,28.42285311
388,446,1.064377,198916,0.06238928,27.82561695
389,447,1.059249,199809,0.05755979,25.72922561
390,448,1.064343,200704,0.06235771,27.93625291
391,449,1.065281,201601,0.06323843,28.39405344
392,450,1.0653,202500,0.06325617,28.46527561
393,451,1.065165,203401,0.06313009,28.47167161
394,452,1.064838,204304,0.06282286,28.39593396
395,453,1.064746,205209,0.06273655,28.41965933
396,454,1.064704,206116,0.06269673,28.46431648
397,455,1.063228,207025,0.06130956,27.89585147
398,456,1.054764,207936,0.05331667,24.31239969
399,457,1.063291,208849,0.06136853,28.04541971
400,458,1.064048,209764,0.06208013,28.43269806
401,459,1.060768,210681,0.05899317,27.0778669
402,460,1.061019,211600,0.05922996,27.24577958
403,461,1.064518,212521,0.06252164,28.82247828
404,462,1.059938,213444,0.05821013,26.89308136
405,463,1.063295,214369,0.06137248,28.41545976
406,464,1.062016,215296,0.06016899,27.91841072
407,465,1.060432,216225,0.05867637,27.28451311
408,466,1.063256,217156,0.06133627,28.58270388
409,467,1.059411,218089,0.05771347,26.9521909
410,468,1.063498,219024,0.06156376,28.81183835
411,469,1.060101,219961,0.058364,27.37271503
412,470,1.057823,220900,0.05621283,26.42003179
413,471,1.061189,221841,0.05938969,27.9725463
414,472,1.041633,222784,0.04078948,19.2526355
415,473,1.061265,223729,0.05946169,28.12537797
416,474,1.064707,224676,0.06269983,29.71972027
417,475,1.064676,225625,0.06267034,29.76841134
418,476,1.0642,226576,0.06222306,29.61817717
419,477,1.064227,227529,0.062249,29.69277106
420,478,1.063341,228484,0.06141565,29.35668072
421,479,1.063984,229441,0.06202073,29.70792927
422,480,1.056631,230400,0.05508517,26.44087975
423,481,1.050668,231361,0.04942625,23.77402507
424,482,1.058108,232324,0.05648241,27.22452047
425,483,1.057606,233289,0.05600786,27.05179798
426,484,1.056636,234256,0.05509028,26.66369393
427,485,1.061269,235225,0.05946555,28.84079192
428,486,1.051676,236196,0.05038508,24.48714989
429,487,1.0553,237169,0.05382556,26.21304796
430,488,1.062702,238144,0.06081453,29.6774922
431,489,1.061066,239121,0.05927369,28.98483254
432,490,1.061181,240100,0.05938234,29.09734887
433,491,1.062433,241081,0.06056166,29.73577267
434,492,1.062424,242064,0.060553,29.7920739
435,493,1.062617,243049,0.06073511,29.94240915
436,494,1.06243,244036,0.06055874,29.91601622
437,495,1.062134,245025,0.06028,29.83859888
438,496,1.059418,246016,0.05771989,28.6290652
439,497,1.059647,247009,0.05793546,28.79392179
440,498,1.062481,248004,0.06060712,30.18234366
441,499,1.062648,249001,0.060764,30.32123617
442,500,1.061404,250000,0.05959256,29.79628001
443,501,1.062149,251001,0.06029384,30.20721269
444,502,1.060998,252004,0.05921016,29.72350189
445,503,1.057787,253009,0.05617908,28.25807948
446,504,1.060446,254016,0.05868967,29.579593
447,505,1.061581,255025,0.05975912,30.17835457
448,506,1.06176,256036,0.05992838,30.32376002
449,507,1.061998,257049,0.06015242,30.49727503
450,508,1.058044,258064,0.0564222,28.66247964
451,509,1.052872,259081,0.05152205,26.22472254
452,510,1.051912,260100,0.05060984,25.81101885
453,511,1.05472,261121,0.05327495,27.22349925
454,512,1.037389,262144,0.03670727,18.79412154
455,513,1.054494,263169,0.05306075,27.22016297
456,514,1.061681,264196,0.0598535,30.76469954
457,515,1.061174,265225,0.05937547,30.57836472
458,516,1.05679,266256,0.05523592,28.50173319
459,517,1.058567,267289,0.05691582,29.42548065
