i,x (ciclo),f(x) = QD (Ah),x²,ln f(x),x · ln f(x)
1,53,1.076701,2809,0.07390164,3.91678712
2,134,1.074445,17956,0.07180434,9.62178186
3,215,1.072575,46225,0.07006239,15.06341443
4,296,1.067037,87616,0.06488584,19.2062074
5,378,1.062948,142884,0.06104637,23.07552717
6,459,1.060768,210681,0.05899317,27.0778669
7,540,1.060317,291600,0.05856811,31.62677867
8,621,1.055551,385641,0.05406262,33.5728878
9,702,1.054232,492804,0.05281207,37.07406996
10,783,1.037337,613089,0.03665705,28.70246635
11,864,1.045661,746496,0.04464874,38.5765141
12,946,1.040701,894916,0.03989433,37.74003843
13,1027,1.037714,1054729,0.03702002,38.01956483
14,1108,1.033182,1227664,0.03264317,36.16862893
15,1189,1.02621,1413721,0.02587221,30.76205683
Σ,9315,15.805378,7628831,0.78287207,410.20459078
