i,x (ciclo),f(x) = QD (Ah),x²,x · f(x)
1,53,1.076701,2809,57.065148
2,55,1.076645,3025,59.215475
3,56,1.076654,3136,60.292635
4,57,1.075398,3249,61.297663
5,58,1.076586,3364,62.441976
6,59,1.075263,3481,63.440505
7,65,1.07652,4225,69.973774
8,66,1.076563,4356,71.053171
9,67,1.076672,4489,72.137051
10,68,1.076534,4624,73.204332
11,69,1.076648,4761,74.288684
12,70,1.0766,4900,75.362014
13,71,1.075334,5041,76.34875
14,72,1.076397,5184,77.500598
15,73,1.07514,5329,78.48522
16,74,1.076374,5476,79.651646
17,75,1.076251,5625,80.718848
18,76,1.076326,5776,81.800806
19,77,1.07629,5929,82.874345
20,78,1.076319,6084,83.952898
21,79,1.076204,6241,85.020156
22,80,1.076236,6400,86.09892
23,81,1.076244,6561,87.175796
24,82,1.0762,6724,88.248359
25,83,1.076188,6889,89.323621
26,84,1.076226,7056,90.403026
27,85,1.076333,7225,91.488296
28,86,1.076051,7396,92.540403
29,87,1.076226,7569,93.631697
30,88,1.076053,7744,94.692664
31,89,1.074946,7921,95.67023
32,90,1.076125,8100,96.851241
33,91,1.07604,8281,97.919686
34,92,1.074808,8464,98.882327
35,93,1.07599,8649,100.067089
36,94,1.075898,8836,101.134459
37,95,1.075824,9025,102.203328
38,96,1.075875,9216,103.284029
39,97,1.075842,9409,104.356664
40,98,1.075911,9604,105.439298
41,99,1.075878,9801,106.511962
42,100,1.075913,10000,107.59126
43,101,1.075842,10201,108.659991
44,102,1.075789,10404,109.730437
45,103,1.075822,10609,110.809645
46,104,1.075783,10816,111.881463
47,105,1.075828,11025,112.961919
48,106,1.075864,11236,114.041626
49,107,1.075638,11449,115.093298
50,108,1.075746,11664,116.180557
51,109,1.075728,11881,117.254374
52,110,1.075666,12100,118.323227
53,111,1.075623,12321,119.394175
54,112,1.075621,12544,120.469563
55,113,1.07567,12769,121.550699
56,114,1.075596,12996,122.617955
57,115,1.074199,13225,123.53285
58,116,1.075638,13456,124.774031
59,117,1.075603,13689,125.845574
60,118,1.075515,13924,126.910723
61,119,1.075504,14161,127.985036
62,120,1.075389,14400,129.046656
63,121,1.075251,14641,130.105407
64,122,1.075214,14884,131.176108
65,123,1.075224,15129,132.252614
66,124,1.075181,15376,133.322456
67,125,1.075212,15625,134.401562
68,126,1.075228,15876,135.478741
69,127,1.07524,16129,136.55548
70,128,1.075288,16384,137.636813
71,129,1.075219,16641,138.703212
72,130,1.075147,16900,139.76911
73,131,1.075126,17161,140.841558
74,132,1.073757,17424,141.735977
75,133,1.074738,17689,142.940207
76,134,1.074445,17956,143.975643
77,135,1.072847,18225,144.834332
78,136,1.072844,18496,145.906798
79,137,1.07452,18769,147.20924
80,138,1.073329,19044,148.119402
81,139,1.074769,19321,149.392877
82,140,1.074748,19600,150.464748
83,141,1.071034,19881,151.015752
84,142,1.074666,20164,152.602629
85,143,1.07472,20449,153.684931
86,144,1.074691,20736,154.755446
87,145,1.072199,21025,155.468797
88,146,1.073395,21316,156.715641
89,147,1.074539,21609,157.957218
90,148,1.074387,21904,159.00932
91,149,1.074088,22201,160.039097
92,150,1.074415,22500,161.16228
93,151,1.074378,22801,162.231078
94,152,1.074359,23104,163.302614
95,153,1.074277,23409,164.364335
96,154,1.074231,23716,165.431512
97,155,1.073968,24025,166.465024
98,156,1.073216,24336,167.421634
99,157,1.073682,24649,168.56809
100,158,1.073785,24964,169.657998
101,159,1.073896,25281,170.74948
102,160,1.074275,25600,171.883952
103,161,1.073007,25921,172.754175
104,162,1.07306,26244,173.835671
105,163,1.071574,26569,174.66648
106,164,1.071436,26896,175.715504
107,165,1.068702,27225,176.33588
108,166,1.067708,27556,177.239594
109,167,1.0725,27889,179.1075
110,168,1.073626,28224,180.369134
111,169,1.073018,28561,181.339974
112,170,1.073767,28900,182.540373
113,171,1.073939,29241,183.643535
114,172,1.071485,29584,184.295454
115,173,1.071384,29929,185.349467
116,174,1.070015,30276,186.18268
117,175,1.063932,30625,186.18803
118,176,1.067809,30976,187.934366
119,177,1.071584,31329,189.670456
120,178,1.06914,31684,190.306849
121,179,1.07152,32041,191.80208
122,180,1.070211,32400,192.637926
123,181,1.071478,32761,193.9375
124,182,1.073767,33124,195.425521
125,183,1.073478,33489,196.446419
126,184,1.073412,33856,197.507863
127,185,1.073316,34225,198.563442
128,186,1.073264,34596,199.627067
129,187,1.073142,34969,200.677648
130,188,1.072943,35344,201.713284
131,189,1.071934,35721,202.595507
132,190,1.07161,36100,203.605938
133,191,1.07247,36481,204.841866
134,192,1.072864,36864,205.98985
135,193,1.073096,37249,207.107509
136,194,1.069645,37636,207.511052
137,195,1.070941,38025,208.833554
138,196,1.064749,38416,208.690765
139,197,1.067211,38809,210.240567
140,198,1.069285,39204,211.71847
141,199,1.064405,39601,211.816535
142,200,1.069248,40000,213.84956
143,201,1.072961,40401,215.665201
144,202,1.071951,40804,216.534163
145,203,1.073483,41209,217.916968
146,204,1.071111,41616,218.506562
147,205,1.072836,42025,219.93136
148,206,1.068616,42436,220.134814
149,207,1.072255,42849,221.956847
150,208,1.072209,43264,223.01943
151,209,1.073086,43681,224.274932
152,210,1.072887,44100,225.306186
153,211,1.072836,44521,226.368354
154,212,1.072808,44944,227.435232
155,213,1.07278,45369,228.50214
156,214,1.072669,45796,229.551252
157,215,1.072575,46225,230.603646
158,216,1.071491,46656,231.442099
159,217,1.072529,47089,232.738836
160,218,1.072256,47524,233.751852
161,219,1.072226,47961,234.81756
162,220,1.0703,48400,235.465934
163,221,1.0709,48841,236.668988
164,222,1.071755,49284,237.929543
165,223,1.072082,49729,239.074264
166,224,1.072664,50176,240.276691
167,225,1.068663,50625,240.449153
168,226,1.068747,51076,241.536799
169,227,1.066107,51529,242.006266
170,228,1.065933,51984,243.032633
171,229,1.067914,52441,244.552237
172,230,1.068548,52900,245.765994
173,231,1.071534,53361,247.524331
174,232,1.07251,53824,248.822413
175,233,1.072442,54289,249.87887
176,234,1.072302,54756,250.918574
177,235,1.07228,55225,251.9858
178,236,1.065974,55696,251.569746
179,237,1.070775,56169,253.773651
180,238,1.069517,56644,254.545022
181,239,1.063406,57121,254.153938
182,240,1.06944,57600,256.665648
183,241,1.068152,58081,257.42468
184,242,1.070517,58564,259.065138
185,243,1.071526,59049,260.380915
186,244,1.071109,59536,261.350669
187,245,1.07132,60025,262.473302
188,246,1.071338,60516,263.54905
189,247,1.071448,61009,264.647557
190,248,1.071353,61504,265.695569
191,249,1.071695,62001,266.852105
192,250,1.071188,62500,267.797
193,251,1.069211,63001,268.371986
194,252,1.069451,63504,269.501702
195,253,1.071314,64009,271.042366
196,254,1.06657,64516,270.908882
197,255,1.071669,65025,273.27562
198,256,1.06809,65536,273.43104
199,257,1.052204,66049,270.416531
200,258,1.05941,66564,273.327703
201,259,1.062722,67081,275.244998
202,260,1.065221,67600,276.95746
203,261,1.067569,68121,278.635613
204,262,1.071325,68644,280.687176
205,263,1.070654,69169,281.582002
206,264,1.070429,69696,282.593256
207,265,1.069873,70225,283.516239
208,266,1.067454,70756,283.942737
209,267,1.067901,71289,285.129567
210,268,1.071026,71824,287.034834
211,269,1.070958,72361,288.087836
212,270,1.070919,72900,289.148211
213,271,1.070841,73441,290.198019
214,272,1.069724,73984,290.965037
215,273,1.070493,74529,292.244562
216,274,1.070785,75076,293.395008
217,275,1.070703,75625,294.443325
218,276,1.070612,76176,295.488857
219,277,1.070097,76729,296.41698
220,278,1.070269,77284,297.534782
221,279,1.069909,77841,298.504639
222,280,1.069939,78400,299.582892
223,281,1.06919,78961,300.442334
224,282,1.066622,79524,300.787348
225,283,1.066286,80089,301.759023
226,284,1.065146,80656,302.501436
227,285,1.069101,81225,304.693842
228,286,1.068527,81796,305.598808
229,287,1.070872,82369,307.340321
230,288,1.068974,82944,307.864598
231,289,1.069585,83521,309.109949
232,290,1.069801,84100,310.242377
233,291,1.070136,84681,311.409663
234,292,1.070017,85264,312.445052
235,293,1.06983,85849,313.460102
236,294,1.064631,86436,313.001573
237,295,1.06767,87025,314.96265
238,296,1.067037,87616,315.843011
239,297,1.069961,88209,317.778447
240,298,1.069836,88804,318.811247
241,299,1.069743,89401,319.853277
242,300,1.069616,90000,320.88471
243,301,1.069882,90601,322.034633
244,302,1.069885,91204,323.105361
245,303,1.069128,91809,323.945663
246,304,1.066744,92416,324.290298
247,305,1.068861,93025,326.002544
248,306,1.069142,93636,327.157421
249,307,1.069192,94249,328.241791
250,308,1.069607,94864,329.438894
251,309,1.069669,95481,330.527845
252,310,1.068412,96100,331.207627
253,311,1.069277,96721,332.545209
254,312,1.062872,97344,331.616158
255,313,1.064725,97969,333.258925
256,314,1.064865,98596,334.367579
257,315,1.069035,99225,336.746088
258,316,1.068496,99856,337.644768
259,317,1.069334,100489,338.978846
260,318,1.069314,101124,340.04182
261,319,1.069307,101761,341.108837
262,320,1.069352,102400,342.1928
263,321,1.067997,103041,342.827005
264,322,1.06758,103684,343.760728
265,323,1.067449,104329,344.786027
266,324,1.066172,104976,345.439598
267,325,1.066994,105625,346.77305
268,326,1.068594,106276,348.361611
269,327,1.067979,106929,349.229198
270,328,1.06849,107584,350.464687
271,329,1.06734,108241,351.155024
272,330,1.067081,108900,352.136829
273,331,1.066922,109561,353.151215
274,332,1.064526,110224,353.422665
275,333,1.064402,110889,354.445933
276,334,1.069533,111556,357.223989
277,335,1.068778,112225,358.040697
278,336,1.070271,112896,359.61109
279,337,1.07034,113569,360.704681
280,338,1.070334,114244,361.772926
281,339,1.070029,114921,362.739831
282,340,1.066999,115600,362.779728
283,341,1.06794,116281,364.167676
284,342,1.069568,116964,365.792427
285,343,1.067512,117649,366.156582
286,344,1.067406,118336,367.187698
287,345,1.067782,119025,368.384928
288,346,1.06914,119716,369.922578
289,347,1.069061,120409,370.964236
290,348,1.069039,121104,372.025607
291,349,1.067674,121801,372.618156
292,350,1.065442,122500,372.904805
293,351,1.066672,123201,374.401872
294,352,1.065249,123904,374.967648
295,353,1.067323,124609,376.765019
296,354,1.068309,125316,378.181457
297,355,1.069017,126025,379.501
298,356,1.067724,126736,380.109673
299,357,1.060736,127449,378.682609
300,358,1.067499,128164,382.16457
301,359,1.065065,128881,382.358479
302,360,1.065,129600,383.399856
303,361,1.067866,130321,385.49977
304,362,1.068412,131044,386.765072
305,363,1.068219,131769,387.763642
306,364,1.068793,132496,389.040725
307,365,1.0692,133225,390.25811
308,366,1.069187,133956,391.322588
309,367,1.068893,134689,392.283731
310,368,1.068741,135424,393.296835
311,369,1.068638,136161,394.32757
312,370,1.064519,136900,393.871882
313,371,1.067725,137641,396.126086
314,372,1.06763,138384,397.158174
315,373,1.067562,139129,398.200701
316,374,1.067586,139876,399.276977
317,375,1.067954,140625,400.482862
318,376,1.065505,141376,400.629842
319,377,1.065346,142129,401.63548
320,378,1.062948,142884,401.79442
321,379,1.059456,143641,401.533672
322,380,1.065367,144400,404.839346
323,381,1.068119,145161,406.953301
324,382,1.068004,145924,407.977413
