i,x (ciclo),f(x) = QD (Ah),x²,x · f(x)
1,53,1.076701,2809,57.065148
2,134,1.074445,17956,143.975643
3,215,1.072575,46225,230.603646
4,296,1.067037,87616,315.843011
5,378,1.062948,142884,401.79442
6,459,1.060768,210681,486.892512
7,540,1.060317,291600,572.571288
8,621,1.055551,385641,655.496985
9,702,1.054232,492804,740.070513
10,783,1.037337,613089,812.235028
11,864,1.045661,746496,903.450672
12,946,1.040701,894916,984.502957
13,1027,1.037714,1054729,1065.732073
14,1108,1.033182,1227664,1144.765434
15,1189,1.02621,1413721,1220.163452
Σ,9315,15.805378,7628831,9735.162782
